category,location,old,new
Node,01 — Director / Feedback + Chat:I93:11973;77:4016;4007:2031;73:1190:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/feedback-panel/content-left/prompt-selector/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;4007:2031;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;4007:2031;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Node,01 — Director / Feedback + Chat:I93:11973;77:4016;73:878:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/feedback-panel/content-left/action-bar/Button,Button,UI / Button
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:623:Form / Field,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:623:Form / Field/Type,textarea-skyline,Textarea Skyline
Node,01 — Director / Feedback + Chat:93:11972:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Director / Feedback Panel,Director / Feedback Panel,Feedback / Panel
Instance property value,01 — Director / Feedback + Chat:93:11972:Feedback / Panel/Module,tab navigation,Tabs
Node,01 — Director / Feedback + Chat:I93:11972;77:4015;31:1214:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/tab navigation/Tab / Buttons,Tab / Buttons,Navigation / Tab
Instance property,01 — Director / Feedback + Chat:I93:11972;77:4015;31:1214:Navigation / Tab,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11972;77:4015;31:1214:Navigation / Tab/State,active,Active
Instance property,01 — Director / Feedback + Chat:I93:11972;77:4015;31:1217:Tab,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11972;77:4015;31:1217:Tab/State,disabled,Disabled
Node,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5690:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/tab navigation/Tab / Buttons,Tab / Buttons,Navigation / Tab
Instance property,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5690:Navigation / Tab,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5690:Navigation / Tab/State,disabled,Disabled
Node,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5705:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/tab navigation/Tab / Buttons,Tab / Buttons,Navigation / Tab
Instance property,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5705:Navigation / Tab,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5705:Navigation / Tab/State,disabled,Disabled
Node,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5720:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/tab navigation/Tab / Buttons,Tab / Buttons,Navigation / Tab
Instance property,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5720:Navigation / Tab,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11972;77:4015;4011:5720:Navigation / Tab/State,disabled,Disabled
